*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=pcb_r2
*Date=05:00:44
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
141;;;62.6618;-41.1584;0;Bottom;Copper Fill40
142;;THT;60.1159;-106.557;-90;Bottom;TCS34725
143;;THT;44.8759;-54.4872;0;Bottom;J80
144;;;76.708;-31.354;0;Bottom;Copper Fill53
145;;;71.3994;-25.258;0;Bottom;Copper Fill102
146;1µF;100 mil [THT, electrolytic];60.1159;-44.3272;0;Bottom;1uF
147;;;42.3418;-68.5396;0;Bottom;Copper Fill82
148;;;34.0808;-22.1023;0;Bottom;Via3
149;;;60.1158;-62.1073;0;Bottom;Via4
150;;;74.5998;-45.6288;0;Bottom;Copper Fill34
151;470;1206 [SMD];29.916;-21.4672;180;Bottom;470R
152;;THT;38.5259;-25.9122;-90;Bottom;MR
153;;;62.484;-82.408;0;Bottom;Copper Fill20
154;;;59.7344;-59.9649;0;Bottom;IMG1
155;;;86.7858;-24.0073;0;Bottom;Via2
156;;;60.1218;-77.6328;0;Bottom;Copper Fill23
157;;;70.1548;-20.2034;0;Bottom;Copper Fill69
158;220;1206 [SMD];98.496;-88.7772;0;Bottom;220R
159;;;58.7248;-41.0568;0;Bottom;Copper Fill38
160;;;63.9258;-23.3723;0;Bottom;Via16
161;;THT;44.2409;-30.3572;0;Bottom;J82
162;;;71.374;-32.9796;0;Bottom;Copper Fill94
163;;;81.6356;-30.9984;0;Bottom;Copper Fill55
164;;;59.0296;-75.8802;0;Bottom;Copper Fill83
165;;;78.359;-48.1434;0;Bottom;Copper Fill31
166;;;75.3872;-26.401;0;Bottom;Copper Fill98
167;;;87.6838;-80.0314;0;Bottom;Hole4
168;;THT;99.4859;-99.5722;135;Bottom;J79
169;;;55.753;-31.6588;0;Bottom;Copper Fill91
170;;;52.5272;-18.9334;0;Bottom;Copper Fill70
171;;THT;60.1159;-25.2772;-90;Bottom;(S)Prox
172;;;40.3352;-33.1066;0;Bottom;Copper Fill52
173;;;69.6408;-21.4673;0;Bottom;Via18
174;;5 mm [THT];25.8633;-95.1646;-135;Bottom;IR LED6
175;;;40.005;-45.4002;0;Bottom;Copper Fill87
176;4.7k;1206 [SMD];78.2507;-51.9472;0;Bottom;4k7
177;;;71.3994;-35.418;0;Bottom;Copper Fill93
178;;THT;46.1459;-86.2372;0;Bottom;J59
179;;;29.4132;-37.6532;0;Bottom;Copper Fill43
180;;;59.7408;-87.0816;0;Bottom;Copper Fill6
181;;;37.8206;-22.591;0;Bottom;Copper Fill63
182;;5 mm [THT];94.3346;-25.0989;45;Bottom;IR LED8
183;;THT;80.4359;-32.8972;-90;Bottom;EnR
184;;;81.6356;-58.3288;0;Bottom;Copper Fill84
185;;THT;60.1159;-32.8972;-90;Bottom;Power (S)
186;;;79.1658;-69.0923;0;Bottom;Via9
187;;;41.0972;-47.6862;0;Bottom;Copper Fill29
188;;;68.9864;-89.9772;0;Bottom;Copper Fill11
189;;;45.1358;-36.4594;0;Bottom;Copper Fill46
190;470;1206 [SMD];24.2757;-88.7772;0;Bottom;470R
